SARIMA(X);RF;ERT;XGBoost;GPRlin;GPRRBF
0.02591527;0.02689371;0.0262417;0.04024842;0.02706426;0.02643247
0.02570753;0.02512629;0.02514912;0.03127244;0.02673568;0.02614713
0.00549923;0.00551055;0.00558089;0.00597988;0.00575173;0.00570371
0.01677656;0.01698247;0.01736851;0.01877605;0.01870348;0.01741212
0.0329767;0.02865011;0.02920787;0.03339331;0.03102085;0.0300213
0.01257575;0.0122307;0.01233692;0.01369345;0.01282104;0.01249953
0.01906042;0.01893817;0.01899713;0.02123497;0.02018267;0.01960222
0.00699979;0.00678878;0.00679347;0.00745303;0.00728175;0.00705201
0.00923442;0.00936331;0.00963931;0.01028635;0.00982285;0.00992927
0.01053006;0.01055638;0.01044586;0.01200065;0.01071025;0.01049959
0.0172636;0.01721657;0.01707281;0.01877206;0.0178818;0.01741678
0.00481901;0.00471374;0.00471926;0.00513827;0.00497521;0.00480714
0.06131566;0.06645432;0.06492704;0.07535047;0.06570757;0.06359411
